User	Sample number	Sample name	Barcode	Lane	read1	read2
Jackie	1	GV04_GA1	1	1	E200007759_L01_1_1.fq.gz	E200007759_L01_1_2.fq.gz
Jackie	2	GV04_GA2	81	1	E200007759_L01_81_1.fq.gz	E200007759_L01_81_2.fq.gz
Jackie	3	GV04_GG1	3	1	E200007759_L01_3_1.fq.gz	E200007759_L01_3_2.fq.gz
Jackie	4	GV04_GG2	4	1	E200007759_L01_4_1.fq.gz	E200007759_L01_4_2.fq.gz
Jackie	5	GV02_EVC1	13	1	E200007759_L01_13_1.fq.gz	E200007759_L01_13_2.fq.gz
Jackie	6	GV02_EVC2	14	1	E200007759_L01_14_1.fq.gz	E200007759_L01_14_2.fq.gz
Jackie	7	GV02_EVC3	15	1	E200007759_L01_15_1.fq.gz	E200007759_L01_15_2.fq.gz
Jackie	8	GV02_KO12	16	1	E200007759_L01_16_1.fq.gz	E200007759_L01_16_2.fq.gz
Jackie	9	GV02_KO19	82	1	E200007759_L01_82_1.fq.gz	E200007759_L01_82_2.fq.gz
Jackie	10	GV02_KO22	42	1	E200007759_L01_42_1.fq.gz	E200007759_L01_42_2.fq.gz
Jackie	11	GV02_KO28	83	1	E200007759_L01_83_1.fq.gz	E200007759_L01_83_2.fq.gz
Jackie	12	GV02_KO37	44	1	E200007759_L01_44_1.fq.gz	E200007759_L01_44_2.fq.gz
Jackie	13	GV02_CV21	57	1	E200007759_L01_57_1.fq.gz	E200007759_L01_57_2.fq.gz
Jackie	14	GV02_CV29	46	1	E200007759_L01_46_1.fq.gz	E200007759_L01_46_2.fq.gz
Jackie	15	GV02_CV38	84	1	E200007759_L01_84_1.fq.gz	E200007759_L01_84_2.fq.gz
Jackie	16	GV02_CV43	48	1	E200007759_L01_48_1.fq.gz	E200007759_L01_48_2.fq.gz
Jackie	17	GV02_CV48	45	1	E200007759_L01_45_1.fq.gz	E200007759_L01_45_2.fq.gz
Jackie	18	GV02_CV56	58	1	E200007759_L01_58_1.fq.gz	E200007759_L01_58_2.fq.gz
Jackie	19	GV02_CV57	59	1	E200007759_L01_59_1.fq.gz	E200007759_L01_59_2.fq.gz
Jackie	20	GV02_CV24	85	1	E200007759_L01_85_1.fq.gz	E200007759_L01_85_2.fq.gz
Jackie	21	GV02_CV54	86	1	E200007759_L01_86_1.fq.gz	E200007759_L01_86_2.fq.gz
Jackie	22	GV02_CV63	62	1	E200007759_L01_62_1.fq.gz	E200007759_L01_62_2.fq.gz
Jackie	23	GV02_CV66	63	1	E200007759_L01_63_1.fq.gz	E200007759_L01_63_2.fq.gz
Jackie	24	GV04_EVC1	64	1	E200007759_L01_64_1.fq.gz	E200007759_L01_64_2.fq.gz
Jackie	25	GV04_EVC2	65	1	E200007759_L01_65_1.fq.gz	E200007759_L01_65_2.fq.gz
Jackie	26	GV04_EVC3	87	1	E200007759_L01_87_1.fq.gz	E200007759_L01_87_2.fq.gz
Jackie	27	GV04_EVC5	67	1	E200007759_L01_67_1.fq.gz	E200007759_L01_67_2.fq.gz
Jackie	28	GV04_EVC6	68	1	E200007759_L01_68_1.fq.gz	E200007759_L01_68_2.fq.gz
Jackie	29	GV04_CV3	69	1	E200007759_L01_69_1.fq.gz	E200007759_L01_69_2.fq.gz
Jackie	30	GV04_CV14	70	1	E200007759_L01_70_1.fq.gz	E200007759_L01_70_2.fq.gz
Jackie	31	GV04_CV33	71	1	E200007759_L01_71_1.fq.gz	E200007759_L01_71_2.fq.gz
Jackie	32	GV04_CV48	72	1	E200007759_L01_72_1.fq.gz	E200007759_L01_72_2.fq.gz
Jackie	33	GV04_CV58	88	1	E200007759_L01_88_1.fq.gz	E200007759_L01_88_2.fq.gz
Jackie	1	GV04_GA1	1	1	E200013138_L01_1_1.fq.gz	E200013138_L01_1_2.fq.gz
Jackie	2	GV04_GA2	81	1	E200013138_L01_81_1.fq.gz	E200013138_L01_81_2.fq.gz
Jackie	3	GV04_GG1	3	1	E200013138_L01_3_1.fq.gz	E200013138_L01_3_2.fq.gz
Jackie	4	GV04_GG2	4	1	E200013138_L01_4_1.fq.gz	E200013138_L01_4_2.fq.gz
Jackie	5	GV02_EVC1	13	1	E200013138_L01_13_1.fq.gz	E200013138_L01_13_2.fq.gz
Jackie	6	GV02_EVC2	14	1	E200013138_L01_14_1.fq.gz	E200013138_L01_14_2.fq.gz
Jackie	7	GV02_EVC3	15	1	E200013138_L01_15_1.fq.gz	E200013138_L01_15_2.fq.gz
Jackie	8	GV02_KO12	16	1	E200013138_L01_16_1.fq.gz	E200013138_L01_16_2.fq.gz
Jackie	9	GV02_KO19	82	1	E200013138_L01_82_1.fq.gz	E200013138_L01_82_2.fq.gz
Jackie	10	GV02_KO22	42	1	E200013138_L01_42_1.fq.gz	E200013138_L01_42_2.fq.gz
Jackie	11	GV02_KO28	83	1	E200013138_L01_83_1.fq.gz	E200013138_L01_83_2.fq.gz
Jackie	12	GV02_KO37	44	1	E200013138_L01_44_1.fq.gz	E200013138_L01_44_2.fq.gz
Jackie	13	GV02_CV21	57	1	E200013138_L01_57_1.fq.gz	E200013138_L01_57_2.fq.gz
Jackie	14	GV02_CV29	46	1	E200013138_L01_46_1.fq.gz	E200013138_L01_46_2.fq.gz
Jackie	15	GV02_CV38	84	1	E200013138_L01_84_1.fq.gz	E200013138_L01_84_2.fq.gz
Jackie	16	GV02_CV43	48	1	E200013138_L01_48_1.fq.gz	E200013138_L01_48_2.fq.gz
Jackie	17	GV02_CV48	45	1	E200013138_L01_45_1.fq.gz	E200013138_L01_45_2.fq.gz
Jackie	18	GV02_CV56	58	1	E200013138_L01_58_1.fq.gz	E200013138_L01_58_2.fq.gz
Jackie	19	GV02_CV57	59	1	E200013138_L01_59_1.fq.gz	E200013138_L01_59_2.fq.gz
Jackie	20	GV02_CV24	85	1	E200013138_L01_85_1.fq.gz	E200013138_L01_85_2.fq.gz
Jackie	21	GV02_CV54	86	1	E200013138_L01_86_1.fq.gz	E200013138_L01_86_2.fq.gz
Jackie	22	GV02_CV63	62	1	E200013138_L01_62_1.fq.gz	E200013138_L01_62_2.fq.gz
Jackie	23	GV02_CV66	63	1	E200013138_L01_63_1.fq.gz	E200013138_L01_63_2.fq.gz
Jackie	24	GV04_EVC1	64	1	E200013138_L01_64_1.fq.gz	E200013138_L01_64_2.fq.gz
Jackie	25	GV04_EVC2	65	1	E200013138_L01_65_1.fq.gz	E200013138_L01_65_2.fq.gz
Jackie	26	GV04_EVC3	87	1	E200013138_L01_87_1.fq.gz	E200013138_L01_87_2.fq.gz
Jackie	27	GV04_EVC5	67	1	E200013138_L01_67_1.fq.gz	E200013138_L01_67_2.fq.gz
Jackie	28	GV04_EVC6	68	1	E200013138_L01_68_1.fq.gz	E200013138_L01_68_2.fq.gz
Jackie	29	GV04_CV3	69	1	E200013138_L01_69_1.fq.gz	E200013138_L01_69_2.fq.gz
Jackie	30	GV04_CV14	70	1	E200013138_L01_70_1.fq.gz	E200013138_L01_70_2.fq.gz
Jackie	31	GV04_CV33	71	1	E200013138_L01_71_1.fq.gz	E200013138_L01_71_2.fq.gz
Jackie	32	GV04_CV48	72	1	E200013138_L01_72_1.fq.gz	E200013138_L01_72_2.fq.gz
Jackie	33	GV04_CV58	88	1	E200013138_L01_88_1.fq.gz	E200013138_L01_88_2.fq.gz
Jackie	1	GV04_GA1	1	1	E200013140_L01_SB-1_1.fq.gz	E200013140_L01_SB-1_2.fq.gz
Jackie	2	GV04_GA2	81	1	E200013140_L01_SB-81_1.fq.gz	E200013140_L01_SB-81_2.fq.gz
Jackie	3	GV04_GG1	3	1	E200013140_L01_SB-3_1.fq.gz	E200013140_L01_SB-3_2.fq.gz
Jackie	4	GV04_GG2	4	1	E200013140_L01_SB-4_1.fq.gz	E200013140_L01_SB-4_2.fq.gz
Jackie	5	GV02_EVC1	13	1	E200013140_L01_SB-13_1.fq.gz	E200013140_L01_SB-13_2.fq.gz
Jackie	6	GV02_EVC2	14	1	E200013140_L01_SB-14_1.fq.gz	E200013140_L01_SB-14_2.fq.gz
Jackie	7	GV02_EVC3	15	1	E200013140_L01_SB-15_1.fq.gz	E200013140_L01_SB-15_2.fq.gz
Jackie	8	GV02_KO12	16	1	E200013140_L01_SB-16_1.fq.gz	E200013140_L01_SB-16_2.fq.gz
Jackie	9	GV02_KO19	82	1	E200013140_L01_SB-82_1.fq.gz	E200013140_L01_SB-82_2.fq.gz
Jackie	10	GV02_KO22	42	1	E200013140_L01_SB-42_1.fq.gz	E200013140_L01_SB-42_2.fq.gz
Jackie	11	GV02_KO28	83	1	E200013140_L01_SB-83_1.fq.gz	E200013140_L01_SB-83_2.fq.gz
Jackie	12	GV02_KO37	44	1	E200013140_L01_SB-44_1.fq.gz	E200013140_L01_SB-44_2.fq.gz
Jackie	13	GV02_CV21	57	1	E200013140_L01_SB-57_1.fq.gz	E200013140_L01_SB-57_2.fq.gz
Jackie	14	GV02_CV29	46	1	E200013140_L01_SB-46_1.fq.gz	E200013140_L01_SB-46_2.fq.gz
Jackie	15	GV02_CV38	84	1	E200013140_L01_SB-84_1.fq.gz	E200013140_L01_SB-84_2.fq.gz
Jackie	16	GV02_CV43	48	1	E200013140_L01_SB-48_1.fq.gz	E200013140_L01_SB-48_2.fq.gz
Jackie	17	GV02_CV48	45	1	E200013140_L01_SB-45_1.fq.gz	E200013140_L01_SB-45_2.fq.gz
Jackie	18	GV02_CV56	58	1	E200013140_L01_SB-58_1.fq.gz	E200013140_L01_SB-58_2.fq.gz
Jackie	19	GV02_CV57	59	1	E200013140_L01_SB-59_1.fq.gz	E200013140_L01_SB-59_2.fq.gz
Jackie	20	GV02_CV24	85	1	E200013140_L01_SB-85_1.fq.gz	E200013140_L01_SB-85_2.fq.gz
Jackie	21	GV02_CV54	86	1	E200013140_L01_SB-86_1.fq.gz	E200013140_L01_SB-86_2.fq.gz
Jackie	22	GV02_CV63	62	1	E200013140_L01_SB-62_1.fq.gz	E200013140_L01_SB-62_2.fq.gz
Jackie	23	GV02_CV66	63	1	E200013140_L01_SB-63_1.fq.gz	E200013140_L01_SB-63_2.fq.gz
Jackie	24	GV04_EVC1	64	1	E200013140_L01_SB-64_1.fq.gz	E200013140_L01_SB-64_2.fq.gz
Jackie	25	GV04_EVC2	65	1	E200013140_L01_SB-65_1.fq.gz	E200013140_L01_SB-65_2.fq.gz
Jackie	26	GV04_EVC3	87	1	E200013140_L01_SB-87_1.fq.gz	E200013140_L01_SB-87_2.fq.gz
Jackie	27	GV04_EVC5	67	1	E200013140_L01_SB-67_1.fq.gz	E200013140_L01_SB-67_2.fq.gz
Jackie	28	GV04_EVC6	68	1	E200013140_L01_SB-68_1.fq.gz	E200013140_L01_SB-68_2.fq.gz
Jackie	29	GV04_CV3	69	1	E200013140_L01_SB-69_1.fq.gz	E200013140_L01_SB-69_2.fq.gz
Jackie	30	GV04_CV14	70	1	E200013140_L01_SB-70_1.fq.gz	E200013140_L01_SB-70_2.fq.gz
Jackie	31	GV04_CV33	71	1	E200013140_L01_SB-71_1.fq.gz	E200013140_L01_SB-71_2.fq.gz
Jackie	32	GV04_CV48	72	1	E200013140_L01_SB-72_1.fq.gz	E200013140_L01_SB-72_2.fq.gz
Jackie	33	GV04_CV58	88	1	E200013140_L01_SB-88_1.fq.gz	E200013140_L01_SB-88_2.fq.gz

